comment;rating;senti;lang
Все очень быстро и качественно. Так держать. Рекомендую всем к сотрудничеству.;5;1;ru
Все хорошо ! Велосипед соответствует описанию ! Очень доволен . Александру спасибо за предоставленную активность в заказе !);5;1;ru
"Спасибо за прекрасный менеджмент, цена, отзывчивость и сроки исполнения на высшем уровне!!!
С уважением,
Иван";5;1;ru
"Спасибо за прекрасный менеджмент, цена, отзывчивость и сроки исполнения на высшем уровне!!!
С уважением,
Иван";5;1;ru
Ужасно. Я позвонила, там сбросили. Пришло автоматическое сообщение с просьбой написать вопрос в сообщении и со мной свяжутся. Я написала о модели, что меня интересовала, но мне никто не ответил и не позвонил. ;1;0;ru
все прошло хорошо, отправили на следущий день;5;1;ru
Отличный магазин, все класс;5;1;ru
не отвечают на запросы ;1;0;ru
все подошло , единственное или не заметил, что товар изготовлен судя по всему на 3д принтере;4;1;ru
"оплатил, сообщение с ТТН получил.. на НП товар ожидает поступления от отправителя!
Хамит!
Если не вернёте деньги (70грн предоплаты), то буду обращаться в полицию!
Скрины сообщений кампании, Новой Почты, пересылки предоплаты на их счет, а так же хамского поведения присутствуют!";1;0;ru
Заявочку оставила в выходные дни. Консультант связалась в первый рабочий день. Заказ выполнен быстро, за что отдельное спасибо. Заказывала клатч, покупкой осталась довольна, спасибо);5;1;ru
Качество ужасное, никогда не буду больше здесь ничего покупать!;1;0;ru
Все очень хорошо! Советую!;5;1;ru
Все быстро и качественно ;5;1;ru
Моя покупка была удачной, приятно было сотрудничать, выслали заказ быстро, я доволен всем, спасибо.;5;1;ru
Заказываю не первый раз, но в этот крайне разочарованна! Я сделала заказ в пятницу перед праздниками и конечно мне не смогли его отправить в тот день, а пришлось ждать до вторника и в итоге забрала я его аж в среду. Получается 5 дней я ждала чтоб получить ткани. Но это не беда, так как я сделала ещё за это время дозаказ. Но качество полученной ткани, а именно муслина меня убило наповал. Такое чувство, что отрезал какой то рукожоп. Каждый из 6 кусков был скошен с рваными краями, отрезан не по рисунку. Конечно, мне отправили не ровно метр, а больше. Однако мне пришлось отрезать по 20 см чтоб выровнять рисунок!!! В итоге пеленки получились не по 100 см, а максимум по 92 см. Из за такого укорочённого размера мне нужно реализовывать их со скидкой. Вопрос почему я должна терять свои деньги, если я заплатила за метр ткани, а какой то сотрудник не удосужился выровнять рулон и отрезать как положено? Это какой расход ткани и убыток самого продавца если каждому так режут??;3;0;ru
Хочу поделиться положительный мнением о магазине. Обслуживанием магазина остался доволен, мне через несколько часов перезвонили, договорились, быстро сформировали и отправили мой заказ, уникальный подход к клиентам. Товар пришел надежно упакованный. Сложились хорошие впечатления. Буду советовать ваш магазин друзьям.;5;1;ru
Заказал щипцы для зачистки проводов по очень приятной цене. Забирал сам в киевском магазине, все прошло без проблем, так что рекомендую:);5;1;ru
Очень понравились формы,  покупали для себя, сделали крутую стену в спальне из форм Талия.  Перезвонили  через 10-15 минут, отправили в день заказа. Очень довольны,  будем советовать эту компанию знакомым  и друзьям! ;5;1;ru
"Мы сами из России, решили начать своё производство гипсовых 3д панелей. Попали на сайт через канал на ютуб ""Bobrovmold"". Заказывали через сайт 53 формы. Оплачивали заказ через службу Золотая корона в долларах. Очень качественное обслуживание от Павла, ответил быстро, дал всю информацию. Отправили формы в день оплаты. Заказ пришел через 2 недели в Москву, все в целостности и соответствовало заказу. Рекомендуем эту компанию, очень хорошая продукция и качественное обслуживание. Будем сотрудничать! Спасибо!";5;1;ru
Жду свой заказ уже неделю. Сама звоню ,спрашиваю где же товар, а в ответ тишина. Не могут разобраться в наличии и где же все же он. Как смс об оплате так быстро прислали, а как товар отослать так я должна выпрашивать. Впервые сталкиваюсь с таким магазином. Я в шоке. Не рекомендую. Пишите если товара нет то : - под заказ или - нет в наличии. Надеюсь мой заказ придет в этом году!;2;0;ru
Очень классный магазин! Всем рекомендую! Спасибо Вам огромное! Товар качественный! Сотрудники вежливие! Процветания Вам!;5;1;ru
Организация, заслуживающая внимание покупателей с серьезными намерениями и потребностями. Ответственно рекомендую!;5;1;ru
"Хороший интернет магазин. Понравилось то, что очень быстро связались и вежливо общались)) Огромный выбор товаров, не пришлось ""бегать"" по разным сайтам, нашла все что нужно здесь)) Большое спасибо!))";5;1;ru
заказала хну для михенди,очень хорошего качества,без комочков, мягко ложится.продавец быстро со мной связался и быстрая доставка.очень порадовали меня два подарочка.не ожидала.рекомендую всем;5;1;ru
качественный товар, быстрое обслуживание.;5;1;ru
заказ был выполнен быстро;4;1;ru
Хороший магазин. связались моментально,отправили в тот же день- менеджеру отдельный + за такую оперативность. Заказывала игрушку fisher- price по полной предоплате. Качество как и должно быть,а цена ниже в среднем на 300-400 грн. Однозначно рекомендую!;5;1;ru
"Едет с опозданием, предупредили о задержке рейса зам10 минут до намеченного отправления. Сказали через час будет, в итоге 2.5 часа ждала. Туалета нет, сидения не удобные и мало места. Купила билет в Праге с указанным местом. Меня посадили на свободное место, потому что мое уже оказалось занятым. Всего 4 розетки, которые все время заняты. Чай, кофе не предложили ни разу  с того момента, как я села в автобус. Стюардессса  одета не по форме, а как на прогулке. При входе посмотрела только билет. Наличие паспорта ее видимо не заинтересовало. В автобусе было душно. Кондиционер вроде работал, но как то не особо. Людей было много. На границе 12 часов, просто ад. Ещё и в таком ""комфортабельном"" транспортном средстве. НЕ РЕКОМЕНДУЮ!!!!! Задумайтесь, при покупки билета, какую фирму выбрать!!!!! ";1;0;ru
Очень хороший магазин! Отправка оперативная! Запакованно всё отлично. Приятная девушка, посоветовала с расцветками, а не положила, тот который залежавшийся. Спасибо большое!;5;1;ru
Отличная компания. Рекомендую.;5;1;ru
Спасибо за скидку хорошую!Отличные продавцы!Всем рекомендую!;5;1;ru
Заказывала джинсовый пиджак дочурке.Всё подошло размер цвет,связались быстро.Большое спасибо!;5;1;ru
Сервис на высшем уровне, отдельно спасибо менеджеру Александре! Товар получила на следующий день же, качество отличное, рекомендую);5;1;ru
Все быстро, надежно и удобно👍🏻👍🏻👍🏻;5;1;ru
Спасибо большое Павлу за понимание, рекомендации и хороший выбор запчастей. Всё отлично вы лучшие!!! ;5;1;ru
Ни ответа, ни привета. Через месяц потрудились прислать сообщение об отклонении заявки;1;0;ru
Большой выбор качественных комплектующих для ЧПУ. Цены очень приятные. ;5;1;ru
Добрый день! После заказа ткани осталась очень довольна. Меня хорошо проконсультировали, перезвонили сразу после того, как я отправила заявку на заказ. Спасибо большое, с Вами очень приятно работать. Буду советовать ваш интернет магазин всем своим знакомым. ;5;1;ru
быстро вышли на связь, хорошее качество товара. рекомендую;5;1;ru
Описание товара, цена и качество соответствуют. Рекомендую продавца.;5;1;ru
Все рабочее и всрок.;5;1;ru
я очень-очень довольна рюкзачком луи виттон мини. Спасибо! как всегда порадовали;5;1;ru
Спасибо продавцам,подобрали нужный размер.Платье село идеально.Смущал желтый цвет,но в живую смотрится супер.Рекомендую.;5;1;ru
Хороший ассортимент и цены. Быстрое оформление и отправка заказа. Рекомендую!;5;1;ru
"заказ пришел быстро.колличество правильное.подарки были около 150 пакетов чая для похудения
советую магазин";5;1;ru
Заказ выполнен даже быстрее,чем рассчитывала! Альбом очень яркий, красочный и красивенно упакован! )  заказывала за 185 грн, очень лояльная цена за такую  работу!!! Спасибо огромное! Рекомендую!!!!;5;1;ru
Заказывал качель. Товар пришел раньше сроков, качественные материалы, все детали пронумерованы, что значительно облегчает сборку. Огромное спасибо!;5;1;ru
Честный и ответственный продавец.Костюм подошел идеально.Спасибо!Рекомендую!;5;1;ru
Вместо сенсора на s5230 выслали корпус .;2;0;ru
"Заказывал кнопки стеклоподъемника и разъемы к ним на замену тем, что шли в комплекте со стеклоподъемником ""Форвард"". Заказываемые кнопки оказались намного лучшего качества, чем от комплектных ""Форварда"" российского производства.. 
Приятное общение с менеджером, уточнили заказ. Выслали в день заказа (с учётом  оплаты по факту получения!). Товар пришел хорошо упакованным, цена и качество отличные! 
Спасибо за Вашу работу!";5;1;ru
Всегда нахожу, что искал. Связываются в течение дня.;5;1;ru
На сайте не правильно указаны размеры, они не соответствуют товару, который они отправляют. Кроссовки пришли бракованные. Буду решать вопрос через суд. ;1;0;ru
Магазин рекомендую. Выбор хороший, цены на люой вкус и кошелек. ;5;1;ru
Мне необходимо было выполнить порезку очень быстро (!) - это был главный критерий при выборе компании. Спасибо, ребята все сделали в тот же день, по качеству абсолютно довольна. ;5;1;ru
"Связались в течении дня,
товар пришёл
 через 7 дней,
отличная цена,
что хотели,
 то и получили,
в общем.
Очень быстро 
и классно 
 Заказ выполнен
 вовремя
 Цена 
актуальна
 Наличие 
актуально
 Описание 
актуально
Благодарю. 
будем работать";5;1;ru
Как и обещала- пишу опровержение. Проблема действительно была решена. Фрезер отремонтировали, положили подарочки, за них отдельное спасибо. Продавец очень ответственный, цены приятные. Надеюсь на дальнейшее сотрудничество!!;5;1;ru
Советую  Быстро Удобно Качественно;5;1;ru
Невероятно шустрые ребята. Быстро связались, всё уточнили и в тот же вечер отправили. Всё вежливо, оперативно и слаженно.;5;1;ru
Быстро связались. Наличие и цену товара подтвердили. Доставку и оплату согласовали. Получил все, как договорились. Все отлично. Претензий нет. Все классно и в отличном качестве. Большое спасибо. Рекомендую.;5;1;ru
Все отлично! Оплачивал на карту Приват банка. Доставка быстрая. Рекомендую!;5;1;ru
отличный магазин,  всё качественно и быстро.  Отличный подарок мальчику на 35-летие)) ;5;1;ru
покупал телефон, всё отлично.Товар соответствует описанию,связались в течении 2-х минут.Задержек и прочих неприятностей не было.;5;1;ru
Быстро связались. Наличие и цену подтвердили. Количество, доставку и оплату согласовали. Получил все, как договорились. Все отлично. Претензий нет. Все классно и в отличном качестве. Большое спасибо. Рекомендую.;5;1;ru
отличный магазин,  качественные товары;5;1;ru
Платье хорошее, по размеру подошло. Брали 62ой размер. По такой цене, платье отличное. ;5;1;ru
Заказ я сделала вечером, поэтому перезвонили мне на следующий день. В тот же день заказ отправили и на следующий после звонка день я его получила. Спасибо компании за хорошее обслуживание! Рекомендую всем!;5;1;ru
Всегда вежливые консультанты, обрабатывают заказы быстро. Рекомендую.;5;1;ru
Товар доставили быстро. Спасибо большое компании за заказ 😘;3;0;ru
Не мог определиться с выбором, мне предоставили полный прайс, помогли консультацией.;5;1;ru
Купил батарею CRAFMANN для NOKIA E 52 . Обслуживание было на высоте , отправили быстро . Один недостаток - прислали испорченный товар , почти 400грн. на ветер . Срок годности батареи закончился 2015 . ;2;0;ru
Отличное качество, покупкой остался доволен.;5;1;ru
Магазин — супер! Всегда буду здесь покупать! Доставили точно в срок, предварительно позвонили, помогли  с выбором товара! Ребята, я вас обожаю!;5;1;ru
"Мне никто не перезвонил, 
Я звонил сам, но мне не ответили,
Связались через несколько часов, когда я уже нашел товар в другой компании";2;0;ru
Быстро связались. Наличие и цену товара подтвердили. Доставку и оплату согласовали. Получил все вовремя, как договорились. Все отлично. Претензий нет. Все классно и в отличном качестве. Большое спасибо. Рекомендую этот магазин всем желающим.. ;5;1;ru
очень оперативный менеджер! доставка, рекомендации товара максимально  быстрая. Очень понравилось сотрудничество! ;5;1;ru
Дочке понравилось, а это - главное! Материал очень приятный на ощупь, пошито ровно, большой выбор изображений. Заказом довольны, доставка в срок, продавец все подробно разъясняет. Рекомендуем однозначно!;5;1;ru
Увидела чехол для планшета, куда помещается клавиатура. Функционирует хорошо, внешний материал не вытирается, выглядит свежо. Все хорошо.;5;1;ru
Спасибо огромное,товаром довольна,доставка быстрая));5;1;ru
Быстро связались, отправили в тотже день. Заказывал сабельную пилу, б/у но состояние отличное. Всё соответствовало описанию. Рекомендую данного продавца.;5;1;ru
Менеджеры очень оперативно работают))))оставила заявку -через минуту перезвонили.Товаром довольна,спасибо огромное)));5;1;ru
Заказывал три раза,все быстро отлично. Мне понравилось. ;5;1;ru
Не соответствует опиманию;2;0;ru
"Огромное спасибо за быструю и качественную работу.
Все очень довольны.";5;1;ru
Спасибо за очень быструю доставку и прямо до дома. Вы есдинственные, кто предложили такой сервис.;5;1;ru
заказ был принят в течении 15 мин после отправки на сайте. После оплаты в этот же день был товар отправлен на Новую почту. Прибыл в город получателя на следующий день. Очень хорошая и обязательная компания. Я с радостью буду рекомендовать ее знакомым. Спасибо огромное!;5;1;ru
Пульт ДУ так и не прислали. Лохотронщики. ;1;0;ru
товар не соответствует фотографии. ;2;0;ru
Качество товара отлично спасибо Выполнили быстро Хорошей Вам торговли;5;1;ru
все отлично.  бистро качественно вежливо ;5;1;ru
Перезвонили сразу после оформления заказа качество саженцев и упаковка отличное.;5;1;ru
Цена не соотвецтвует заявленной, после оформления заказа на следующий день перезвонили и сказали что товар бракованый, благо хоть деньги оперативно вернули, за это и поставил 2 звезды... Итог, два дня упущино, жена подарок получила на следующий день после дня рождения! ;2;0;ru
Продавец супер рекоминдую;2;0;ru
Перезвонили через пол часа, после того как сделал заказ, и переключили на дилера. На следующий день забрал товар. Спасибо за оперативность. Хороших продаж. ;5;1;ru
Отправил заказ, связались мгновенно! Товар отправили в этот же день! Товар пришёл на следующий день. Качество товара отменное! Спасибо!;5;1;ru
ждала наличия 5 дней. написали что не появился. хотя на сайте компании есть в наличии и сейчас, но немного по другой цене. печалька;3;0;ru
жду уже больше месяца заказ,отложили еще на неделю,пока не купила ,предоплата уже 50процентов;2;0;ru
"Спасибо огромное за альбомчик, он очень мне понравился, все сделано аккуратно и с любовью. Отправка отменная, даже не смотря на то что я позвонила уже поздно вечером, мне ответили на звонок и сразу же на следующий день отправили.
Вы занимаетесь своим делом, поэтому желаю вам вдохновения, хороших покупателей и больших продаж. 
Рекомендую!!! ";5;1;ru
Покупка отличная, выгодная, спасибо, я довольный. Канцтовары буду тут покупать еще.;5;1;ru
Заказ приняли быстро. Отправили в тот же день. Не получалось забрать дня 4 - позвонили, спросили все ли хорошо и т.д. На почте - упаковали отлично. Коробка, в которой был светильник - подарочная. Очень доволен обслуживанием! Светильник качественно изготовлен. Притензий вообще нет. Цена - хотелось бы немного дешевле, но за качество  я готов платить. Не сравнится с китайскими аналогами. Спасибо. Даже батарейки в комплекте дали. Мелочь, но приятно! Спасибо! ;5;1;ru
Хорошо всё, спасибо, я заказывала тут канцтовары, покупкой довольна.;5;1;ru
Нормальный сервис, понравилась быстрая доставка. Только долго уточняли наличие товара.;5;1;ru
Отличный сервис, качество и скорость пересылки! Рекомендую!;5;1;ru
Все супер! Всем рекомендую.;5;1;ru
так и не отправили заказ, хорошо что не переводил деньги на карту...;1;0;ru
все хорошо,вот только кольцо не то прислали ;5;1;ru
Довольна, что тут заказала, спасибо, отличный интернет-магазин!;5;1;ru
Очень доволен покупкой, товар супер! Идеально подошел к моему интерьеру! ;5;1;ru
"Заказывала в магазине lars тушь masterpiece и блеск для губ max factor. Осталась жутко недовольна тушью, такое ощущение, что она вообще пустая и застывшая и как будто ею пользовались, весь тюбик в царапинах, пришлось выбросить. Блеск довольно неплохой, но тоже качество оставляет желать лучшего, явно не оригинал. И вообще косметика должна продаваться запечатанной, чтоб было видно, что она новая. А мне приехало все без упаковок :( К моему сожалению, посылку забирал муж и не осматривал, если бы я забирала, то непременно отправила назад. А так выброшенные деньги;( Не рекомендую...";2;0;ru
"Класна продукція 
мне очень понравилась особено соки и витамины
связались очень быстро";5;1;ru
Качество,цена,оперативность-отлично!;5;1;ru
Заказывала 3 платья. Менеджер быстро связался со мной, уточнила все по наличию. Через день после оплаты мой заказ собрали и отправили. Все подошло по размеру, качество тоже очень порадовало. Хороший магазин с качественными товарами;5;1;ru
Покупаю уже не однократно. Товар, сервис, скорость пересылки на высоте! Рекомендую!;5;1;ru
Воспользовался впервые Вашими условиями. Четкая и корректная работа;5;1;ru
Заказываю второй раз на этом сайте, уже подтвердили наличие, завтра буду ждать товар.;5;1;ru
Отныне Я ваш клиент .;5;1;ru
